HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.review_id_0,Input.business_id_0,Input.text_0,Input.len_0,Input.label_0,Input.review_id_1,Input.business_id_1,Input.text_1,Input.len_1,Input.label_1,Input.review_id_2,Input.business_id_2,Input.text_2,Input.len_2,Input.label_2,Input.review_id_3,Input.business_id_3,Input.text_3,Input.len_3,Input.label_3,Input.review_id_4,Input.business_id_4,Input.text_4,Input.len_4,Input.label_4,Approve,Reject,complete-time-0,complete-time-1,complete-time-2,complete-time-3,complete-time-4,load-time,start-time,worker-platform,worker-language,worker-local-time,end-time,Answer.label_0,Answer.label_1,Answer.label_2,Answer.label_3,Answer.label_4,is-correct_0,is-correct_1,is-correct_2,is-correct_3,is-correct_4,total-correct
3ULIZ0H1VA5O96GV5C7URIW6H5X510,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,39GHHAVOMFRGUOQT7YZREAI191A4J3,AVFHRN0S32V2H,Submitted,2021-01-08T20:05:20+00:00,2021-01-08T20:06:50+00:00,2021-01-15T20:06:50+00:00,,,,90,0% (0/0),0% (0/0),0% (0/0),my7_OirKnN-SqWLNiG_EwQ,gTRhwlrqCCuY3gZuhAgeTQ,For anyone who is looking for a down to earth stylist I recommend Stephen Garcia. Stephen always goes above and beyond and overall has just grown on me. I could tell from meeting him from day 1 he was very passionate about his job and I really admire that about him.,51,None,tZY1DQtU61Mh-YXCIwK5tg,IYikcVWEgp53jmkIeEI80g,I believe this Kin Kin sells the most expensive buns of all their GTA locations but convenience can't be beat. Great if you go to work/school nearby.<br/><br/>Plus they serve dim sum as well. <br/><br/>Service is quick and friendly. Debit/credit card is accepted.,46,None,4GLlPtPOnP7cxkf7vw-EoQ,rgdnKTfrZGkgvGv5l-E-CA,"Amazing service! I help out with some properties in AZ from afar and have had 2 instances where they got technicians out at short notice.<br/>Their technicians are polite, courteous, prompt, explain everything very well, reasonably priced, I could go on and on.<br/>It really was a pleasure working with them!",51,None,4_w4BBhTrPsszeqqOtDQiA,DGDBFpZk-NIvah4M7MtDDg,This place gave us food poisoning. Spent the rest of our trip bedridden and making bathroom runs. The lady who works there was also super rude and dismissive. Wish we had not ignored the signs and ate somewhere else. Highly recommend you skip this place.,45,Restaurant,P4cw1ck07_UtcSz0YxZZtA,Go7A32yJ0eFXqE_-8Os7EQ,"Very slow service, food was being made and literally sitting on the counter after it was made and it was sitting their for 10 minutes before someone decided to bring it to us. Such slow service I couldn't believe it. Definitely not coming back.",45,Restaurant,,,2021-01-08T20:06:40.465Z,2021-01-08T20:06:36.618Z,2021-01-08T20:06:43.874Z,2021-01-08T20:06:50.399Z,2021-01-08T20:06:38.575Z,2021-01-08T20:06:27.039Z,2021-01-08T20:06:30.734Z,MacIntel,en-US,Fri Jan 08 2021 12:06:27 GMT-0800 (Pacific Standard Time),2021-01-08T20:06:50.399Z,Restaurant,Restaurant,None,Restaurant,Restaurant,0,0,1,1,1,3
32L724R85LK32MUCXY1EHNI9P78PIX,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,3WSELTNVR32PAG2FSTNMTJRAZDXATP,AY47VRZ94YW7M,Submitted,2021-01-08T20:05:20+00:00,2021-01-08T20:06:17+00:00,2021-01-15T20:06:17+00:00,,,,57,0% (0/0),0% (0/0),0% (0/0),urm9U8CBvka-avjfMq5AeA,C9gINcBIzIvKZSD7zwYY7g,"Holy crap free popcorn. Microbrews. Craft beer. Bottle and taps. Low prices too.<br/><br/>In short, if you found my review of this place looking for a beer bar in this tiny town, run here now. It's your only choice and it's awesome.",44,None,7zXQMi22rXp4oatFZEYXjw,QZ-twPwDt0sPy4DL8FITdQ,I fasted for 6 hrs and could not get my MRI. No one at the time of scheduling thought to ask if I had a stent. Which I do. If they would have asked that at time of scheduling I wouldn't have to be rescheduled again,47,None,O_Dw1Yx8t7z1yD1W4rwBlg,Gmkfors9fSxUKcJKSX0BRQ,"Went in to pick up dinner tonight. <br/>The chick was by herself at first with customers ahead of us, but didn't get overwhelmed.<br/>She greeted us when we first walked in & was quick & efficient but nice also.  <br/>The food seemed fresh!<br/>A decent 'fast food' experience is always one I'm grateful for.<br/>Thanks Subway on Trop & Eastern!",59,Restaurant,sK1gl1yWZJa2QePVZxxqKw,0aSvr56wz4gRAA5TtV7_Tw,"I went with some friends on a Friday night.. the crowd was a great mix and everyone was really friendly, granted.. i am from atlanta, and so I did catch a little hell about my accent.. I had fun.  <br/><br/>They played a good mix of music, it was a good time.",51,Restaurant,kDuvCvRdLOnUqtnssmimwA,PcjaK1eGafT0Xn_ohZtTbg,"If you are looking for a place to take your dogs, Camp Bark is the place for you.  My pups love it there.  They always seem disappointed when I come to pick them up.  I would not leave my dogs anywhere else.  The staff is great.  You can tell they love dogs.",52,None,,,2021-01-08T20:06:10.653Z,2021-01-08T20:06:08.759Z,2021-01-08T20:06:15.480Z,2021-01-08T20:06:12.828Z,2021-01-08T20:06:05.964Z,2021-01-08T20:05:46.451Z,2021-01-08T20:06:00.276Z,Win32,en-US,Fri Jan 08 2021 12:05:46 GMT-0800 (Pacific Standard Time),2021-01-08T20:06:15.480Z,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,0,0,1,1,0,2
3SV8KD29L4SOMLM6KAKSL1Z0RA4ZK3,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,3S0TNUHWKTI4A3D3953TSO3T639D85,AVFHRN0S32V2H,Submitted,2021-01-08T20:04:36+00:00,2021-01-08T20:05:38+00:00,2021-01-15T20:05:38+00:00,,,,62,0% (0/0),0% (0/0),0% (0/0),Z-_riOcriVuYDZiERQ5QXQ,4Odbtgh9g8XUKorRg7MTHg,"Amazing service, entertainment was great, extremely busy tonight. I think that the growth in the last few years tells me that I am not the only one that thinks it is one of the best in Vegas. Ben was very accommodating as usual. The wait staff made sure we were very happy. Great food, great service.",56,Restaurant,WyBDBFVzFga2su68gS6dQQ,tS2Y2hMWZMvwjiY3z6LuUg,Never heard back from Paul on the original issue from May 2009.  Not sure if the restaurant is still being run this way...hopefully not.  Mill Ave is a great location for restaurants but I can't say I want to go back to this one.,46,Restaurant,wCrv5sfhGz5vCuwKOyF94Q,mqUhuwBC2U6ddwmvswPRoA,"Definitely on the high end for cost. $25 for Shellac alone (CRAZY!!) Took these pics one day after the service. Polish not extended to edges of nails, overall really sloppy job. Huge waste of my time and money on this service as I had to go to another salon back home 2 days later to have them completely redone.",59,None,5po0sH9B5k6wGa_gEHNM5w,TvIf3ywn-mw1af2mQCq3Dg,Dr Barnes has light hands and has a respectful and good bed side manner. Cassie is careful and also upholds good patient service. The front desk girls are on top of it and are very good about reminder phone calls!,40,None,8VmsKnjGI9LfcEn4EPguXw,7wZgquJ30qkVQbvbJo92ow,"My husband has been searching for years for a place to carry garlic paste. This place has it and doesn't disappoint. We ordered delivery and the taste of the food is fantastic. <br/>Fries were crispy and warm. <br/>Finally, the west side has an awesome new restaurant!",47,Restaurant,,,2021-01-08T20:05:18.766Z,2021-01-08T20:05:10.979Z,2021-01-08T20:05:27.767Z,2021-01-08T20:05:04.702Z,2021-01-08T20:05:37.351Z,2021-01-08T20:04:49.276Z,2021-01-08T20:04:58.948Z,MacIntel,en-US,Fri Jan 08 2021 12:04:49 GMT-0800 (Pacific Standard Time),2021-01-08T20:05:37.351Z,Restaurant,Restaurant,None,None,Restaurant,1,1,1,1,1,5
30EMX9PEVKJRL90SPIQKP82X4V4SKR,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,3X08E93BHVIILGF063YH24XAJMW66K,AY47VRZ94YW7M,Submitted,2021-01-08T20:05:22+00:00,2021-01-08T20:06:46+00:00,2021-01-15T20:06:46+00:00,,,,84,0% (0/0),0% (0/0),0% (0/0),mulk0IKZm8MG8xC8p0xuXw,tnOTjnZ0UZ_ZvBRMaaQbUw,"I love Ross! I always come here for all of my clothing needs for shirts, shoes, bedding, bath, accessories etc. They always have what I'm looking for. Most of their items are very reasonably priced, the people are very helpful and they always seem to get new items in regularly. Awesome!",52,None,ReHySi9-SKRq7rzzLQLTAg,qPeHkpE_2rx7BYhJ4XmZ8Q,It doesn't take a lot to provide terrible service but when my wife and I went in here it was as if the Host ( overweight rude slob) was trying to piss us off and make us feel unwelcome.. <br/>Cozy place but I wouldn't recommend it..,47,Restaurant,7njjQjTF0nCzeIWlXtjyHA,fGMn7J2z4hcMkucQIolWKQ,"Thoroughly pleased with the work done at serious.  I had a bad vibration through my bronco and they had a simple fix; transmission mount. I had my doubts because nothing is ever that simple but they were spot on with the repair. On top of that, best labor rates in town.",51,None,_zH3x5iBctRsWu7dVEeNJA,VMJZ3--CCUMSdH1gAz3weQ,Whenever I am in Phoenix I find time for a trip to AAWTs. Very good N and HO selection. Had a great conversation with the owner and a customer. Always good to catch up with train guys. Interesting layout on a hollow core door in the back of the store.,50,None,mpiAZW3eqTO-LDYxYE5xnA,2vh7ip-v59DTmH2Iu1kArQ,The zumba classes are a blast!  My 2 year old also loves going to her classes there too.  She takes yoga and zumba! Very happy we found this place! I think this will be the perfect place for her 3rd birthday party!,42,None,,,2021-01-08T20:06:42.597Z,2021-01-08T20:06:38.432Z,2021-01-08T20:06:44.986Z,2021-01-08T20:06:40.474Z,2021-01-08T20:06:36.419Z,2021-01-08T20:06:24.250Z,2021-01-08T20:06:33.790Z,Win32,en-US,Fri Jan 08 2021 12:06:24 GMT-0800 (Pacific Standard Time),2021-01-08T20:06:44.986Z,Restaurant,Restaurant,Restaurant,None,Restaurant,0,1,0,1,0,2
3RKHNXPHGWW70MSWENLK49KLPSPUK9,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,3MRNMEIQW56ZPAXM3UCXXTPZQ39LD0,A22DF0EWILGRLV,Submitted,2021-01-08T20:09:55+00:00,2021-01-08T20:11:38+00:00,2021-01-15T20:11:38+00:00,,,,103,0% (0/0),0% (0/0),0% (0/0),lxr6BOCxEh87hkwEwxSChA,JGz6AZ3IsdjKafetuyek6Q,"4.5 stars. This is the best, most professional drag/impersonator show ever. I went with my mom and my sister and we had a blast. I'm trying to remember all the impersonators....Joan Rivers (""Can we talk?"") of course, Reba, J.Lo., Tina Turner, Madonna....the list goes on. Decent cocktails as well.",55,None,g1-qPqsqXvcCk5i5ZrjMPw,-MAbkFAoiVwuT6CbEJ3k4Q,My company has used their service for a variety of projects including wrapping our trucks and trailers as well as wall graphics and event signage from banners to billboard size signs. Excellent quality at competitive pricing. The owner takes personal care and ownership of your project to get it done on time. Congratulations on your continued growth Gecko-Wraps!,59,None,UZsjj8JTjDxfTrYjPs0XxQ,SJslQXs9j3K6wDixajyp-g,"Food was great!  Loved the burgers!  Plus, we were there on a Friday night and got to dance the night away with the Marley Taylor band, we had a fantastic time!  Live music at Desert Ridge!!  We came in for dinner & stayed for the party!",45,Restaurant,c7jI4EytMCj8iD2g-gT1MA,ZPWEawq1b37IcMFH9zA-_w,Love the Italian sodas that they have here! Will go out of my way just to have a soda! I've had their coffee too but the soda is my favorite. <br/><br/>The only thing I wish they would do for more convenience would be to stay open later than 5 pm.,51,Restaurant,uFZ0oMfmC-v7RtX2Gt6tNg,mROHnOMoqKOZ1_qiACUvxQ,"Massage therapist  Jennifer was skilled, but she took me 15 minutes late and cut my massage short.   I waited 20 minutes to see the chiropractor, and then finally went to front desk to see how much longer.   They said probably another 20 minutes because there was an emergency.   WHEN WERE YOU GOING TO TELL ME????   I walked out.",58,None,,,2021-01-08T20:11:22.510Z,2021-01-08T20:11:38.303Z,2021-01-08T20:11:26.469Z,2021-01-08T20:11:29.414Z,2021-01-08T20:11:34.509Z,2021-01-08T20:11:10.951Z,2021-01-08T20:11:13.687Z,Linux x86_64,en-US,Fri Jan 08 2021 15:11:10 GMT-0500 (Eastern Standard Time),2021-01-08T20:11:38.303Z,None,None,Restaurant,Restaurant,None,1,1,1,1,1,5
3G57RS03HH5VYRYROG78W16B9BB52H,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,39LOEL67OS56SBB6GGXHFFHHFQL833,A22DF0EWILGRLV,Submitted,2021-01-08T20:07:43+00:00,2021-01-08T20:08:59+00:00,2021-01-15T20:08:59+00:00,,,,76,0% (0/0),0% (0/0),0% (0/0),EoOFWw25YYrB11A7ElGGtw,kiwbnv4prSca7lELVhxgIQ,I give it a 4 only because it was convenient (next door to hotel) and at maple leaf gardens.... The staff i dealt with was polite but had an I'm better than you attitude...... <br/><br/>I would go back only because it could've been an off day for the person but waiting until then to recommend to people!,59,None,J4-4eI5km5Qybo1XOC4jAQ,8aYFrrl3rhiaY1Hq1XPGwQ,"Great time. Bartender was extremely nice and funny. Drinks aren't overpriced. The casino/resort is on the smaller side so there isn't much places to just get drinks unless it's a nighttime spot. And their Bloody Mary which was good, I enjoyed my<br/>Time.",47,None,Y-GutR9U_UgHGSpo5H0p0Q,brIWUjIWqi9DaJYkf2Fg3w,"One month later, we're still suffering from the noisy machines and the shouting construction workers from the construction site at 901 Western. I have a feeling that we will not see the conpletion of the construction. Probably never. T_T",40,None,SWplae4DA5CssI2yffkw8Q,MOsFhDVav42shCq9-rgejw,"Potbelly is my all-time favorite chain sandwich shop, but this location definitely stands out. The employees are always friendly, the drive through is always efficient, and my order is always correct! My go-to is the TKY + avocado (the avocados here are always perfectly ripe - YASS!)",47,Restaurant,1LO52zuNoyYFa1ubr_Xm6w,uMbSCjf6D9-rZOOXQyz9LA,It's my first time to have Affogato in Charlotte! It tastes great. Enjoyed the chat time with my friends here. I think I have the same music taste with who chose the music in the cafe~ I like old songs! I want to see more options for desserts.,49,Restaurant,,,2021-01-08T20:08:59.679Z,2021-01-08T20:08:56.304Z,2021-01-08T20:08:44.025Z,2021-01-08T20:08:53.344Z,2021-01-08T20:08:47.743Z,2021-01-08T20:08:38.870Z,2021-01-08T20:08:40.521Z,Linux x86_64,en-US,Fri Jan 08 2021 15:08:38 GMT-0500 (Eastern Standard Time),2021-01-08T20:08:59.679Z,None,Restaurant,None,Restaurant,None,1,0,1,1,0,3
3XBXDSS888JA1W494S883GW48ABXL7,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,3ZPPDN2SLVW9GEADASKRY2GPQLTE9P,AVFHRN0S32V2H,Submitted,2021-01-08T20:09:28+00:00,2021-01-08T20:10:51+00:00,2021-01-15T20:10:51+00:00,,,,83,0% (0/0),0% (0/0),0% (0/0),o-pTyTgyf9THJOTSD-6rWg,gpr7upOOWCHqbu_8IECDdg,"We love the little gym! It's a perfect activity to get out during the hot summer days. My 19 month old has so much fun in each class. They are constantly changing the activities and have a different ""skill of the day"" each class.",45,None,Y5_3xO_aohN5Li5AbvwpPQ,I56tn1ZXKvm9omVGn2QKwQ,"Excellent chicken and Brie sandwiches, great moccacinos, and very friendly service. Excellent pastries too, though some of the best were in short supply. Seating a bit limited, but wasn't especially crowded so that wasn't as issue for us.",40,Restaurant,ggYlg5YdDZNeuboW1QN9xw,Yy5uiC3WI6K4kDHONKh8_g,Another classic Wendys location.<br/><br/>You know what you're getting when you go to Wendys but I got excited when I learnt of the new pretzel bun they were featuring. Save yourself some disappointment and don't bother.<br/><br/>Just another Wendys.,41,Restaurant,NoKRn6Y05_GMuB-bL1waBQ,BTRyAikBLFw6umdkud0LIA,"We're new to Akron and some friends took us a few weeks ago. Great sub, amazing beer selection, laid-back vibe. Now I can't wait until some of out-of-town folks visit so I can take them!",40,Restaurant,dTe1pNYUyvzMf0L68Ui7mA,bivEAahbqAwdDOFgL7g9YA,"This shop carries bikes at all price points but caters to the high end cycling market.<br/>Very friendly staff, nice to see a business give back so much to the cycling community. Ask about the vintage track bikes on display in the fit studio!",44,None,,,2021-01-08T20:10:47.953Z,2021-01-08T20:10:46.592Z,2021-01-08T20:10:45.355Z,2021-01-08T20:10:51.093Z,2021-01-08T20:10:43.747Z,2021-01-08T20:10:38.317Z,2021-01-08T20:10:41.519Z,MacIntel,en-US,Fri Jan 08 2021 12:10:38 GMT-0800 (Pacific Standard Time),2021-01-08T20:10:51.093Z,Restaurant,Restaurant,Restaurant,Restaurant,None,0,1,1,1,1,4
32ZCLEW0BZKZXXEIFGMETOX92MXPJ9,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,3GDTJDAPVUB7EXJGMY2WBEQNFH18MI,A2HRUFTA09371Y,Submitted,2021-01-08T20:05:20+00:00,2021-01-08T20:06:23+00:00,2021-01-15T20:06:23+00:00,,,,63,0% (0/0),0% (0/0),0% (0/0),MrWuKhuiiPg2anHohrNlDw,cbgIpJwmPVI6Zf7nUIXdFw,Had a great experience getting our order through grub hub a week ago.Kick Ass pizza! And the ranch was killer.Lol. Had the cheesecake and tiramisu as well.2 thumbs up.Keep up the great work and we look forward to comin back.,44,Restaurant,wFv6zv5KHAwds0xL79ARnA,Mh_g3m7oBFd0K-WqOm9pFA,This is mor of a 3 1/2 stars place as the atmosphere is order-only and I'm not too much of a fan of their sorta tofu w vegetable. Please think if u wish as a four-star. Friendly service!,42,Restaurant,Z1fgpw_R4aNfMcaJgra_lA,fWd8nJcOV8W4s9O8RxWftA,A nice little shop tucked away. They have so many little goodies! The incense were my favorite! The owner Mike was so sweet! He was very helpful and friendly! We will definitely be back to visit Mike and his shop!,40,None,9NGXe3o9zlGVnkj_yKF_VQ,-11PbySWhJQtK6USx4IP2A,"Kinda pricey for a jumping place. You get charged for ""grip socks"", which I understand for kids... but adults?... The place is decently clean, I didn't see anything alarming. The place is okay size, not huge but there's not much activity. There are areas for adults, which is nice.",51,None,nBHDNYOnpLdbIX_Ocn3KFw,d2ZQRjuizstCTnicysmpMQ,We loved it!  Scallop appetizer had a delicious reduction. Three Greens Salad was served on top of a divine red pepper goat cheese paste.  Swordfish entree was a combination of amazing flavors and textures. Candy Bar dessert left me wishing my stomach was bigger so I could order a second one.  Our experience was complete perfection.,56,Restaurant,,,2021-01-08T20:06:01.645Z,2021-01-08T20:06:08.214Z,2021-01-08T20:06:27.522Z,2021-01-08T20:06:22.049Z,2021-01-08T20:06:13.808Z,2021-01-08T20:05:25.071Z,2021-01-08T20:05:51.858Z,Win32,en-US,Fri Jan 08 2021 15:05:25 GMT-0500 (Eastern Standard Time),2021-01-08T20:06:27.522Z,Restaurant,Restaurant,None,None,Restaurant,1,1,1,1,1,5
3GL25Y6843UU7EMU449N3TBT8F1XM9,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,38BQUHLA9W0AZP6WTFRS80GNUM6MO0,A1SNC8UL8YFRH5,Submitted,2021-01-08T20:12:31+00:00,2021-01-08T20:13:33+00:00,2021-01-15T20:13:33+00:00,,,,62,0% (0/0),0% (0/0),0% (0/0),9FLZAM0m6RyNTdMXFkGDvQ,LpKloJ5DFU1rjEENALnGZg,"The restaurant has a cool architecture vibe with exposed brick and rafters.  The beer choices are extensive, and during happy hour, a reasonably good deal.  The pizza is good; service is OK.  The dining room can get busy so there can be a bit of wait.",46,Restaurant,oF3uHMGO6qGMr1PPtMyhMg,P-o_ZamNd_l4e5QeTKgZYQ,"This place is great!  Everyone is super helpful and friendly.  Deana made my visit quick and easy, she was a pleasure to work with!!  They offer a lot of services and are very knowledgeable and helpful!  Thanks Deana, I appreciate your friendly service!",43,None,diAOjqPmsZKj_3bAzWEZVg,8_sHbOuRBdhSnwlG4GsYmQ,"Super friendly staff and nice clean building. I got a full interior cleaning and my car has never looked so good! I usually dread going to auto shops because the employees are not friendly and always seem to be in a hurry, but Kirk Auto was the total opposite! Very enjoyable experience. I highly recommend going.",56,None,e6-GElBoVaCQ8IflSblugg,GAZR7RofM7rUFwV7Bo90IQ,"Stephanie is a true professional and always delivers excellent results. As a photographer,  the people you work with and hire with your clients reflects on your own business as well and I can always count on Stephanie to reflect positively on the whole team and get the results we want!",50,None,bh4YezBE1XxwCzeWax5QIw,j-42M0aKmwtu4Q7MydRVXw,I've been here several times for meetings.  It's a cool concept because you can book as much or as little space as you need but still have access to all of the facility's amenities.  The meals and snacks are pretty good.  Sometimes if they are full the parking can be a little tough.,56,None,,,2021-01-08T20:13:14.924Z,2021-01-08T20:12:58.144Z,2021-01-08T20:13:33.442Z,2021-01-08T20:13:24.099Z,2021-01-08T20:13:10.465Z,2021-01-08T20:12:31.392Z,2021-01-08T20:12:47.091Z,Win32,en-US,Fri Jan 08 2021 15:12:31 GMT-0500 (Eastern Standard Time),2021-01-08T20:13:33.442Z,Restaurant,None,None,None,Restaurant,1,1,1,1,0,4
30UZJB2POHCKJ9UASGLDFBB3FPB53S,31S093JAJ7BQ5M3FTZFY7PKO8CUWR2,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2021-01-08T20:02:55+00:00,1,BatchId:4298183;OriginalHitTemplateId:929448123;,120,604800,2021-01-15T20:02:55+00:00,,,3S3AMIZX3U56M63GQHJYUAZCWUVCDB,AVFHRN0S32V2H,Submitted,2021-01-08T20:11:51+00:00,2021-01-08T20:12:37+00:00,2021-01-15T20:12:37+00:00,,,,46,0% (0/0),0% (0/0),0% (0/0),HvLbX9I7pJzDIsNpCUb8jQ,aUn_s1_OAMNw_dsVYi8w4w,The kababs( both chicken and koobideh) were so tough as if they were cooked in a microwave. No grill marks on them! Their borani was the weirdest tasting borani I have ever had. Service was ok but food was awful!,40,Restaurant,cKXT0PRRsTZhLPUMdf8j9w,6GshXASXubgAOFtR37rPyw,"What is there to say about IHOP?<br/><br/>Food is always consistent and hot.  It's cheap eats.  Service is always quick and polite. <br/><br/>This location, however, stays busy.  Give them a plus for being located next to Krispy Kreme Doughnuts.",40,Restaurant,QFxtjQRpWLcuWMzsN9l6Bg,wl0QZqAzr1DelslQ02JGCQ,"I can't rave about this place enough.  Not expensive, great vibe, great music, communal or private seating, tons of food options.  My favorite pasties are the Mexican, the Chicken Portobello, and the Royale with Cheese.  Also, you REALLY can't skip the Banoffee Pie for dessert!",47,Restaurant,_DMGSHeWo4paU3gqb2JD1Q,aOLWX8VmdjlcOgnTt1iYjg,I've been struggling to get a handle on my health for quite a few years and after my first visit here with Dr Molina I felt very reassured that everything was going to be alright. I'm so glad I chose here after reading all the wonderful reviews.,49,None,-J6Vu46NDPd_4Sdb9BJK7Q,pw5B6BKQ4dWPzKesqn01NA,"First time there, got plain cheese pizza, very good, great sauce not too sweet or too bitter, hit the spot. Mozzarella sticks were good. People were really nice, held the door for me when I left. Fair prices too-2 med pizza & motz sticks were less than $25. Will definitely go again.",52,Restaurant,,,2021-01-08T20:12:36.472Z,2021-01-08T20:12:31.229Z,2021-01-08T20:12:34.983Z,2021-01-08T20:12:29.565Z,2021-01-08T20:12:32.263Z,2021-01-08T20:12:24.127Z,2021-01-08T20:12:27.236Z,MacIntel,en-US,Fri Jan 08 2021 12:12:24 GMT-0800 (Pacific Standard Time),2021-01-08T20:12:36.472Z,Restaurant,Restaurant,Restaurant,None,Restaurant,1,1,1,1,1,5
