HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.review_id_0,Input.business_id_0,Input.text_0,Input.len_0,Input.label_0,Input.review_id_1,Input.business_id_1,Input.text_1,Input.len_1,Input.label_1,Input.review_id_2,Input.business_id_2,Input.text_2,Input.len_2,Input.label_2,Input.review_id_3,Input.business_id_3,Input.text_3,Input.len_3,Input.label_3,Input.review_id_4,Input.business_id_4,Input.text_4,Input.len_4,Input.label_4,Approve,Reject,complete-time-0,complete-time-1,complete-time-2,complete-time-3,complete-time-4,load-time,start-time,worker-platform,worker-language,worker-local-time,end-time,Answer.label_0,Answer.label_1,Answer.label_2,Answer.label_3,Answer.label_4,is-correct_0,is-correct_1,is-correct_2,is-correct_3,is-correct_4,total-correct
3MQKOF1EE2OCEKBRH6EYIKASQ12DWH,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:34+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:34+00:00,,,3VJ40NV2QINECKWG2CS4UEBFPAXOTV,A13OMD8QDV0YON,Submitted,2021-01-12T14:27:56+00:00,2021-01-12T14:29:44+00:00,2021-01-19T14:29:44+00:00,,,,108,0% (0/0),0% (0/0),0% (0/0),9lS2b9f3vExPKfR1S93ZwA,gmq0TfwzWtEGN93nJ2l_Mw,"I found the place clean and the staff friendly. Of the five times I've been there three times they didn't have what I was looking for. At first they would give a date and time they would be restocked, now they just say they have no idea. That's a bit annoying.",54,Health & Medical,lfMM6pC-3gNWKlEyl71-Wg,8uOkQTLPXfG0lC59jLhcBg,"The staff are very friendly and I love their shampoo service. It's very relaxing. However, I can get a better blow dry for a cheaper price in other places. They are very pricey. It costed me around $60 included tip and tax just for a blow dry.",48,Hair Salons,5PDPTZczDNguGXTRm2HTZQ,s0DAKwS2ILeZoWmvLs0SSQ,"I was disappointed by the staff. The staff all went out at the same time and just talked amongst themselves. Normally I am not picky but even when you are just waiting for someone, it is quite rude to have your back against the customers and not be attentive.",49,Hair Salons,DWQY09yw5CPnaHfoe1rgIQ,fbVFJNbdVPjVq_pCwh8PFQ,This place is awesome! I am a medical student and a group of us came and educated their team on skin cancer awareness. They were very open and receptive to education. I feel confident that they care about not only hair but the health of their clients. I applaud this salon!,51,Hair Salons,NYwHHxpped9Tx0yvUQFEwg,XTzKRvWciP_BZ9imk8mmPQ,"No complaints here. Fairly cheap for the overall quality of the place and service. Appointments aren't necessary BUT I suggest it. They were fairly dead when I got there but within the matter of minutes it became a full house of mani+pedi walkins.<br/>Alex is great, always kept asking if what he was doing looked okay.",58,Nail Salons,,,2021-01-12T14:29:31.747Z,2021-01-12T14:29:22.549Z,2021-01-12T14:29:37.212Z,2021-01-12T14:29:42.558Z,2021-01-12T14:29:09.270Z,2021-01-12T14:29:00.236Z,2021-01-12T14:29:02.129Z,Win32,en-US,Tue Jan 12 2021 08:29:00 GMT-0600 (Central Standard Time),2021-01-12T14:29:42.558Z,None,Hair Salons,None,Health & Medical,Nail Salons,0,1,0,0,1,2
3C8QQOM6JP1DB1FE5687069PKZ6LIY,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:34+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:34+00:00,,,3NQL1CS15R85JQ47DU1HXNX205CVYT,A13OMD8QDV0YON,Submitted,2021-01-12T14:30:14+00:00,2021-01-12T14:30:43+00:00,2021-01-19T14:30:43+00:00,,,,29,0% (0/0),0% (0/0),0% (0/0),Fvvp5RZP9YlqKI13kHTWLw,nuGAd48mGzVLlJLPkST0BA,I've been going to Nu Nails for over a year for SNS manicures and I'll never go anywhere else! I consistently see Tom but in the off chance he is sick or our schedules don't match up I've seen Tracy and V! Both also amazing nail techs 10/10 recommend!,54,Nail Salons,G9Y2zYVq7VY64_7yXZSRRQ,lHZYfbZhuUdaXMPU_AFNtQ,"Just had a mani/pedi here and it looks like a 5 year old did it and to boot, they cut me and made me bleed. WTH. When I paid the girl she could care less. Guess I won't be back. So enter with caution because you have no idea what you will get.",55,Nail Salons,cEVsqAxx9pg2hdGDfCqGaQ,TG_vgC_J6F7SA9iwQbOXrw,"I was a patient of Dr Stacey and all she did is try to sell me supplements and never even fixed the problem that I went in for, spoke with alto of other patients while in the waiting room and they felt the same way, they went their like I did because of the their health insurance",57,Health & Medical,hnTFSpstyWlqK0_1NwKzOA,Fy8R-TOgBJaXMMStJ542ZA,"My solar hot water system has a leak, and the Phone number is out of service, and the web site doesn't work.  I shut it off but it is still leaking, I am shocked that the BBB shows Pure Solar Now, with an A+ rating, should be a F.  Not sure what to do next.",56,None,NsUmNil7UQZSgo9caZoTKQ,EcWAahOz0NqLJKg_1Y8sPw,"One of the worst locations I've been to,<br/>First of all, the gym is on the second floor, <br/>Then the weights section is on the third floor,<br/>With such a limited selection of machines, there is only one machine for some of the exercises, and only the basic ones.<br/>Customer service is a joke!",55,Fitness & Instruction,,,2021-01-12T14:30:41.809Z,2021-01-12T14:30:31.170Z,2021-01-12T14:30:23.410Z,2021-01-12T14:30:38.728Z,2021-01-12T14:30:28.426Z,2021-01-12T14:30:17.919Z,2021-01-12T14:30:19.931Z,Win32,en-US,Tue Jan 12 2021 08:30:17 GMT-0600 (Central Standard Time),2021-01-12T14:30:41.809Z,Nail Salons,Nail Salons,Health & Medical,None,Fitness & Instruction,1,1,1,1,1,5
3FO95NVK5C0D8DDNF2ZHQKOBZPXSRN,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:34+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:34+00:00,,,39GHHAVOMFRGUOQT7YZREAI1AH74JX,A2JJ3531QBNT5K,Submitted,2021-01-12T14:28:13+00:00,2021-01-12T14:29:08+00:00,2021-01-19T14:29:08+00:00,,,,55,0% (0/0),0% (0/0),0% (0/0),syiAq563g8_z1sx2Egtzmw,hDN_2S7SiY_4tRHiblpQSg,"I was referred ti Cactus & Auggie by a friend. I've found them very honest & fair in their work. As a single woman I'm glad tohave a place to take my vehicle that is nott looking to rip off a woman. 2 great guys,so glad I found them!",50,None,HhyvYNkgoTirh7UgGe5BCw,91A8H72Nd2gUb21ta0vC4Q,This is one of the dirtiest gym I ever been to!!!! When you walk in the floor is dirty all the way to the change room. The hot pub is probably the worst!!! The water is dark colour and the surrounding debris everywhere. The shower soap is mixed with water. Management need to step up with your gym!!!!!!,58,Fitness & Instruction,Xv-uT6WWq9UrUf9ySbMuJA,uROQHy4agAcC-c3ejVGdiA,I received a wonderful hydra facial last week and loved it. <br/>I have had it before and now I'm hooked coming here. Kayla really helped my dry skin condition and she helped with all my clogged pores. My skin has come a long way and I'll continue her skin care regime.,53,Health & Medical,cf-50RDh5G9Orz6v1jmivw,9kSFs4ChDfTd2Bp7E8118g,"The pros<br/>Convenient if you work in the downtown core<br/>The instructors for exercise classes are competent  & professional <br/>Has squash courts<br/>The cons<br/>The gym area is small & the equipments are pretty average.<br/>Basic membership doesn't include squash, spinning or Pilate<br/>Membership fees vary depending on your age",49,Fitness & Instruction,29gJizWLKIkT80v3ML5YeQ,pflp0cSK1ApTl2SrUrKsmQ,I started taking Beginner Bachata classes from Edgar & Jenny earlier this year. Both great instructors with a lot of patience and understanding for us people born without rhythm. Now I'm in the intermediate Bachata level and have so much fun when I go out social dancing.. because I know how to dance now! -ozzy instagram.com/ozvegaz,58,Fitness & Instruction,,,2021-01-12T14:28:58.234Z,2021-01-12T14:29:02.902Z,2021-01-12T14:28:46.737Z,2021-01-12T14:29:07.760Z,2021-01-12T14:28:53.157Z,2021-01-12T14:28:13.806Z,2021-01-12T14:28:24.765Z,Win32,en-US,Tue Jan 12 2021 08:28:13 GMT-0600 (Central Standard Time),2021-01-12T14:29:07.760Z,None,Fitness & Instruction,None,Fitness & Instruction,None,1,1,0,1,0,3
3VO4XFFP15MRDEEVEKC6Q3IAGPIQ7X,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:34+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:34+00:00,,,3NJM2BJS4W6FB366VQATU4G1BTTPCU,A38O9M6Z3MHFEW,Submitted,2021-01-12T14:28:27+00:00,2021-01-12T14:29:30+00:00,2021-01-19T14:29:30+00:00,,,,63,0% (0/0),0% (0/0),0% (0/0),o2ADD4GX4Q3V2sFvU4Etgg,xWZa_TtX_aQ-LCkXHLz1_g,"I must say, Linda gave us excellent service the entire time we were there. We went in there thinking we were going to take longer than expected but she was quick, diligent, and profesional, which made our whole experience absolutely pleasant. I will definitely be going back to Fingerprinting Express to get any additional services done.",56,None,7U7-BgkC51RUU0lfpUjMHg,3Bbx_AY9cN0v78YSunfiMA,"I joined as a golf member in April 2016.<br/>It was nice that they allowed the CaveMan to excavate and smash balls into houses:)<br/>I will continue to post reviews as I spend my days here...for now, it is groovy!",41,Fitness & Instruction,QGhNv08T5oCrmkHKrI58rA,TrG3UEGXoqhURIOkmO321w,Awesome store. We recently moved here from out of town and had to transfer prescriptions over.  One of them would have been very expensive but the pharmacy staff took the time to find us a coupon that virtually illuminated the out-of-pocket cost.  We are customers for life!,49,Health & Medical,-Bn50_Ggn-RdagZjzMlzxg,y9O-nJV1d2W5KLoPPHV_gA,"I went to Aurora Vision Center on the recommendation of a friend who has been a long-standing customer. I will never go back to the chain shops in the mall or even the major national chain. AVC's prices are just too good! The service is really great too, no pressure and really pleasant people to deal with.",59,Health & Medical,XZOJYGVAzV7RCffdW38iXw,zSASl5J9jzUp4dyg4sahHA,I love this place!!!! Everyone here is friendly and especially the coaches are awesome in many different ways for improving your workout levels. It's never the same routine every day is different. I recommend this place if you want to change your fit life style it should start here tough mudder bootcamp!!!!!,53,Fitness & Instruction,,,2021-01-12T14:28:59.910Z,2021-01-12T14:28:47.895Z,2021-01-12T14:28:42.471Z,2021-01-12T14:29:25.630Z,2021-01-12T14:29:18.610Z,2021-01-12T14:28:24.033Z,2021-01-12T14:28:34.655Z,Win32,en-US,Tue Jan 12 2021 09:28:24 GMT-0500 (Eastern Standard Time),2021-01-12T14:29:25.630Z,None,Fitness & Instruction,Health & Medical,Health & Medical,Fitness & Instruction,1,1,1,1,1,5
3ECKRY5B1QWXGQWIK7ZG8LKNZ8EIZE,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:34+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:34+00:00,,,32AT8R96GL98AP3Y9YZNJF7I5D7USP,A2YOLW621EFX4V,Submitted,2021-01-12T14:28:31+00:00,2021-01-12T14:29:25+00:00,2021-01-19T14:29:25+00:00,,,,54,0% (0/0),0% (0/0),0% (0/0),3Qx0vA0Jxr9Q5XZ8vnhugg,CQNnuACw5WMiWXR7-OtvaQ,"I just had my first haircut with Ame and I couldn't be happier. I've been losing a lot of hair recently making my style difficult to manage. Ame gave me a great cut and made me feel better about my hair loss issues. She shared some good, honest advice and I really appreciated it.",56,Hair Salons,rVprZO7Y_ZYURteKv6gTdA,q1REDQx9BZH8nVgaZJg8jA,Won't go back they put and charged me for gel nails when I picked out my color  she took it upon herself to do gel 3 of my nails fell off with in first week of having them on,40,Nail Salons,bOu1ffLO6U2WqASWJrEZ_Q,dwUBvN1VFwU-eSP_0UYUWg,Finding a therapist that you feel safe and connected with is of the upmost importance. Kana has a gentle way about her that instantly puts people at ease. She lends an empathetic ear and helps you dig down to the core of your issues in a way that is non-judgemental.,51,Health & Medical,VggrXqhd-6vh9CWLCaPHfg,5RzQaIjb6hl5KMsmP4tKXQ,"I loved her class!!! She's so down to earth, has continually answered any questions I have about the powder brow class I took. She's over all a sweet person. Can't wait to take another class with her. Thank you hun",43,Hair Salons,4qgRYOU0t-Vy3Vxve4D6xw,RNyRQSHWsX9Lj4huFfzvLQ,"Very pleased with my experiences so far. Angelika takes the time to make sure what she has planned is what you want, and will revise issues and do the very most to make sure you're satisfied. Maria is very friendly, and they both take pride in their work.",49,None,,,2021-01-12T14:29:18.764Z,2021-01-12T14:29:10.274Z,2021-01-12T14:29:06.622Z,2021-01-12T14:29:24.752Z,2021-01-12T14:29:21.757Z,2021-01-12T14:28:51.187Z,2021-01-12T14:29:01.618Z,Win32,en-US,Tue Jan 12 2021 08:28:51 GMT-0600 (Central Standard Time),2021-01-12T14:29:24.752Z,Hair Salons,Health & Medical,Hair Salons,Health & Medical,Health & Medical,1,0,0,0,0,1
37ZQELHEQ0YPVK8Q2YME5RKV63QNMI,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:34+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:34+00:00,,,3R2PKQ87NW8033VTVKENO3K1JT2MIX,A1L2N1X8U8Z3W7,Submitted,2021-01-12T14:27:44+00:00,2021-01-12T14:29:15+00:00,2021-01-19T14:29:15+00:00,,,,91,0% (0/0),0% (0/0),0% (0/0),51vRJVf4FcIL9AlVj5Zraw,C33bpSGI-70n5iemHu1u3Q,"I loved this place! They make the donuts fresh right in front of you. I picked a few like the Strawberry Shortcake and Banana Nut one, but I made my own too. WOW all the glazes and toppings, YUM! I dont think the glaze is too sweet either.......its glaze hello! Definitely stop in there!",55,None,9Pj0XUFhZkfJnGZIpPJ6rA,lYprEq7Al9ITbVLTyC0CVw,I went to the location listed and it's completely empty. Did it close or relocate? I'm pretty bummed tho cause it has a lot of good reviews and I was excited to see what kind of upgrades they had.,41,None,HKhStt6uGUZzXuE33MzCQQ,EI_GAuBN_li_thmNVtzmGA,This place is amazing. I've been seeing Kelly for almost 2 years and through different cuts and colors she's always listened and worked with me on exactly what I'm thinking. I finally love my hair and get so many compliments! Love this place.,46,Hair Salons,tlXnmvlUFRovEN7gxUJ2zw,efPEIQJrcMbLUyno58DjZA,I went to Imagen y Mas for the first time about 7 years ago and since I met Jorge and his amazing skills I've been coming back regularly . Very stylish and affordable I always leave with a big smile of satisfaction on my face ! I wish yelp had more stars to give !,53,Hair Salons,rhnVMPTkusrP0ylC6mUScw,akwWumtYzZXjeMj8gVA6mA,"I have been going here for years, it was never the best, but it's close to my house. BUT, it just gets worse every time. They are rude and the service is subpar. I will never go again despite the convenient location.",43,Nail Salons,,,2021-01-12T14:28:55.754Z,2021-01-12T14:29:13.752Z,2021-01-12T14:28:58.764Z,2021-01-12T14:29:10.111Z,2021-01-12T14:29:03.764Z,2021-01-12T14:28:50.254Z,2021-01-12T14:28:52.703Z,Win32,en-US,Tue Jan 12 2021 08:28:50 GMT-0600 (Central Standard Time),2021-01-12T14:29:13.752Z,None,None,Hair Salons,None,None,1,1,1,0,0,3
3J9UN9O9J3SW9GAYYV7OENW1UGKJ0Z,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:35+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:35+00:00,,,30H4UDGLT2ISKPIX8F47X0LD57XPMC,A1L2N1X8U8Z3W7,Submitted,2021-01-12T14:28:49+00:00,2021-01-12T14:30:35+00:00,2021-01-19T14:30:35+00:00,,,,106,0% (0/0),0% (0/0),0% (0/0),zfvdcbadboBh1rUIrsZu-w,H84aM3OzN8csGq0JQFNiGg,They don't use primer for the long lasting nail polish and then it chips. I went back to have the lady fix it and she did the same poor procedure. I wonder if they want your nails to chip.,40,Nail Salons,ZsUqAporxgwRy2Ry_W48XA,a6gCluwIpaaEcvxgOt21Nw,"Had a really good experience here.  People went out of their way to help me, teach me a few extra things about my car, and gave me good service overall. I was happy with the way I was treated. Oil change was done quickly.",44,None,p_pHbrgMCLTNdc8a8kF2IA,T0Nt9964Mg1tpHrDN52rNw,"This company is terrible. They have left my mother standing outside for hours, or don't even show up on several occasions. Phoenix / Scottsdale  should  discontinue their contracts before they are sued for negligence. Do not bother using this company.",40,Health & Medical,JAbsqxYoq-3Ar4Gsk6NVFQ,N3IaDxG-_E2CErRiETQwEA,I don't recommend this place. I did the full medi-pedicure here and I was not happy with the results at all. I needed to do both again in 3 weeks which is not normal for me at all.,40,Nail Salons,Mbdx7BPiUDUsDh4z9xUmsw,hFTPT-48hP-yeJKmLme-sQ,"Amazing service!! Kudos to Antonio and Tayliana - great customer service! These two are friendly, knowledgeable, and efficient! The BEST UPS store I have ever been to! Wishing they were located in Nebraska! Will definitely use this location for all my shipping needs whenever I am in Vegas!!!",47,None,,,2021-01-12T14:30:23.127Z,2021-01-12T14:30:28.850Z,2021-01-12T14:30:26.387Z,2021-01-12T14:30:34.314Z,2021-01-12T14:30:32.302Z,2021-01-12T14:30:17.633Z,2021-01-12T14:30:20.586Z,Win32,en-US,Tue Jan 12 2021 08:30:17 GMT-0600 (Central Standard Time),2021-01-12T14:30:34.314Z,Nail Salons,None,None,Nail Salons,None,1,1,0,1,1,4
3FK4G712NX0P9SD0URZMGUT7LRGSSB,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:35+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:35+00:00,,,3ZSY5X72NXB1W5JOYNN9UZAX1P0ROL,A3CZNH7V7RD29,Submitted,2021-01-12T14:28:15+00:00,2021-01-12T14:29:46+00:00,2021-01-19T14:29:46+00:00,,,,91,0% (0/0),0% (0/0),0% (0/0),3FpaqeSlYeW1Dk7d6Nlc2g,Wsnc8jb32TCE4DFGBrZUHQ,Went in for a haircut for the first time yesterday and got Co. He did an amazing job. I asked him to cut off 4-5 inches of my hair. Now it looks so much more healthier and fuller yet still long. Will definitely be back!,46,Hair Salons,kFDz2ZgwHq47VZpT52x14A,tuIMTDkDmxOTZZh_Ut8b0A,"Razzy has been my stylist for nearly a year. She's very friendly, conscientious and always does a great job. She's also the manager, and does a fantastic job making certain that all the clients are pleased with their services. I highly recommend this salon.",46,Hair Salons,BOWFRtGxBlgrsPjzRWm3fg,8Lb253m-F0YgJpP_KQ6UbA,"I called Mike Carver about my sick Ash tree. Mike and his crew showed up the same day, and accessed the problem. Immediately started treating, and also notice one of my Queen palm had a problem. <br/> Trees are all healthy and thriving. I also had them come back to trim my huge paloverde tree. They did a great job!",59,None,VU07pNUknzezHCdFR1C4Lw,S8dhXySYXKdP8oa8JAtFpQ,"What an awesome golf store, they have a great selection of both new and used clubs. Anyone from a tour level player to an absolute beginner can go in and get custom fit for a set of clubs. Todd and his staff are extremely knowledgeable and helpful, you can tell that this is a passion not just a job.",59,Fitness & Instruction,ZsgsghxhqPyUqCzZBdu0vQ,GrLk3O0-QbmiEsJ76cycow,The gym is very clean.   Staff there are helpful and ready to answer your questions.   Elijah heard what personal  concerns that I had and went out of his way to help me.   I would recommend this gym to my friends.,40,Fitness & Instruction,,,2021-01-12T14:28:56.223Z,2021-01-12T14:28:09.026Z,2021-01-12T14:28:49.651Z,2021-01-12T14:28:28.104Z,2021-01-12T14:28:17.852Z,2021-01-12T14:27:29.098Z,2021-01-12T14:27:39.587Z,Win32,en-US,Tue Jan 12 2021 06:27:29 GMT-0800 (Pacific Standard Time),2021-01-12T14:28:56.223Z,Hair Salons,Hair Salons,Health & Medical,Fitness & Instruction,Health & Medical,1,1,0,1,0,3
3BFF0DJK8XCQOSQFJR4CQZPTNAUST0,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:35+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:35+00:00,,,333U7HK6I9FTUK9M090KHEC7NU0DJJ,A13OMD8QDV0YON,Submitted,2021-01-12T14:30:41+00:00,2021-01-12T14:31:33+00:00,2021-01-19T14:31:33+00:00,,,,52,0% (0/0),0% (0/0),0% (0/0),wFgiMuNvqTKbjBqDE1754A,rsrD4QgDujxfF8pYY6nGwA,"Love all the teachers and clientele that are part of the Power studio.<br/><br/>Enough classes that it's very easy to mix up the workout routine (yoga, pilates and barre). <br/><br/> Great boutique for yoga, Pilates and barre clothing along with Yoga mats  and accessories as well.",46,Fitness & Instruction,X7tmGsQR6G_elLkjEb7g7Q,BaNBOwz4h4X4car8-zq3xg,They did a Fabulous job! My Mother was so happy with the results. They didn't rush and was very careful being she is diabetic and must be careful not to nip her skin. Now she does have crusty feet anymore but pretty shiny feet and nails. Thank You,49,Nail Salons,m8zk6EDu2ZEC9JVm8cD93w,6-l6yI_pUtHKtm7YsQ-ELQ,I recently had a pedicure after purchasing a Groupon. The salon is very nice inside however the smell of perm products is very overwhelming. I would say it's the only negative. My pedicure was very lovely. I would go back in the future.,44,Hair Salons,CPdgQVw54RTW35167cJ6PA,ko9g03dv34Ftz37Q6J5C9Q,"My children have been coming here for a few months and I love this facility! Everyone is always so friendly, and they really cater to my sons swimming needs! He started off so scared of the water, and although he is still stand-offish they do their best to make him comfortable. Thank you Aqua-Tots Ahwatukee!",57,Fitness & Instruction,cgyIuQcn1_DDIw97PPnSMg,GQNAAzuOCvXF0tgda3UDow,This place was like a mad house. The outdoor was so packed that you could barely get in. Then ever do often they would make everyone get out for 15 mins. That seems very dumb to me. Especially on hot days. I will never go back again.,47,Fitness & Instruction,,,2021-01-12T14:31:16.922Z,2021-01-12T14:31:25.610Z,2021-01-12T14:31:19.479Z,2021-01-12T14:31:14.287Z,2021-01-12T14:31:31.517Z,2021-01-12T14:31:08.446Z,2021-01-12T14:31:10.585Z,Win32,en-US,Tue Jan 12 2021 08:31:08 GMT-0600 (Central Standard Time),2021-01-12T14:31:31.517Z,Fitness & Instruction,Nail Salons,Nail Salons,Health & Medical,None,1,1,0,0,0,2
3XABXM4AJ15VDSJEOP4C43E5R9OQ8K,3XDA6L0PG0OMZKEWB2P3IUL28BSCWD,Classify business reviews into one of five classes,You will see a review describing a business. Your task is to decide which of the business types most closely matches the business described in the review.,"text, classification",$0.15,2021-01-12T14:24:35+00:00,1,BatchId:4300892;OriginalHitTemplateId:929448123;,120,604800,2021-01-19T14:24:35+00:00,,,3E1QT0TDFP9LIETP1J44JLJ6ZODI85,AFIK3VBMMX6G6,Submitted,2021-01-12T14:25:12+00:00,2021-01-12T14:26:21+00:00,2021-01-19T14:26:21+00:00,,,,69,0% (0/0),0% (0/0),0% (0/0),PZENdFSk6og8ufKAZgBuZQ,Edr38MqJjlGdI9iyIzYjzg,"ASCEND is a really great climbing gym! There are a very good number of auto-belays and an overall decent top rope area, as well as parking, a cafe area, WiFi, etc. And at a really affordable price for a day pass or a membership. It's a much better option for amenities than the Climbing Wall.",57,Fitness & Instruction,d6k4KDJGn53a2Wd2MCRk0g,uDqRGybQrBuMH2WJ5JdYAg,I have been coming here for years for both wax and nails. What I like best is that I can successfully schedule and change my bookings via email.  the admin staff at the front is always welcoming and very knowledgeable. you can tell people like to work there. <br/>Good price point and they also care about the neighbourhood!,58,Nail Salons,tQMOVCPYN1zVs3t0SSRKtQ,yteiP5TNG7XqfT2zmpSMMQ,Get ready mobile is awesome! I use them every time I'm in Vegas and is very happy with their service each time. The artist are very professional and uses only top quality stuff. My make up stays on the whole night. They really listen to exactly what you want. I highly recommend them!,54,Hair Salons,qNF4fQjtEl_tIofcqCDtIg,bSzOM_k_MgyclevFEFQJ7g,Great staff. They are very friendly and flexible with payments and scheduling. They have two locations in the Valley to serve you. They are always having some type of contest to keep the patients involved. When my daughter needs braces I would not use any other orthodontist.,47,Health & Medical,wZkXug5mDymnqqLO6-dKkg,PL9xKgFL9FB8wDQ9AKrm4g,I have been in there last weekend got a facial treatment for my wife very good customer service <br/>The employee was very kind helpful and professional <br/>Heard management got changed the store looks good  and prices are decent <br/>We recommend going and checking them out,45,Hair Salons,,,2021-01-12T14:26:21.255Z,2021-01-12T14:26:14.241Z,2021-01-12T14:26:01.734Z,2021-01-12T14:25:33.563Z,2021-01-12T14:25:46.219Z,2021-01-12T14:25:13.205Z,2021-01-12T14:25:17.326Z,Linux x86_64,en-US,Tue Jan 12 2021 09:25:13 GMT-0500 (Eastern Standard Time),2021-01-12T14:26:21.255Z,Fitness & Instruction,None,None,Health & Medical,Hair Salons,1,0,0,1,1,3
