HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.review_id_0,Input.business_id_0,Input.text_0,Input.len_0,Input.label_0,Input.review_id_1,Input.business_id_1,Input.text_1,Input.len_1,Input.label_1,Input.review_id_2,Input.business_id_2,Input.text_2,Input.len_2,Input.label_2,Input.review_id_3,Input.business_id_3,Input.text_3,Input.len_3,Input.label_3,Input.review_id_4,Input.business_id_4,Input.text_4,Input.len_4,Input.label_4,Approve,Reject,complete-time-0,complete-time-1,complete-time-2,complete-time-3,complete-time-4,start-time,worker-platform,worker-language,worker-local-time,end-time,Answer.label_0,Answer.label_1,Answer.label_2,Answer.label_3,Answer.label_4,is-correct_0,is-correct_1,is-correct_2,is-correct_3,is-correct_4,total-correct
3Z56AA6EK40HOZ2Y3H0X3GY9AYLM6W,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:49+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:49+00:00,,,3WYGZ5XF3WFU7TYMFKVLDSYKT3UKSR,A3E65QA8DZX26T,Submitted,2020-11-09T15:53:06+00:00,2020-11-09T15:53:44+00:00,2020-11-16T15:53:44+00:00,,,,38,0% (0/0),0% (0/0),0% (0/0),DwlDsBs4mGDw9o4FQ9Bomg,mX9dR2hu28dOHchl7I0Osg,"The catalog of services offered for the price makes it the best fitness in Canada. <br/>I'm not a great working out person that lifts weights or go hours in the machines, for me the best plus are the group classes, the variety that targets different goals and the child care offered while I exercise!",55,None,Ra3-lEirTu3IOLXCST-_aw,6uQaCL5flPwh40Uaga7mWw,"Karaoke at Yesteryears is a Charlotte institution. The crowd can be thin at times, but when it's on, it's awesome. Plus, you'll never meet a stranger when you're their. It's a shame they'll be closing.",41,Restaurant,CSxqMqiRmQxp22GddMZgEQ,VPpeZPIS3WCyMPHJO__9Hg,"This is a cozy, beautiful little cafe. Their desserts, lunches and drinks are to die for. Everything they sell here is very tasty . Theices are similar to second cup or Starbucks. It's hard to find a seat there at times but it is worth the wait to sit down. You also have the option for take out.",58,Restaurant,3yOCjZXYkSXocuk6oRGbzQ,YPCbxsAPYOo3kRMbhfxFzw,I love coming here the location is convenient the staff is always friendly & nice one time I went 2 hours before closing & the workers Natasha & Jennifer had no manners did not say hello did not even ask to take my order I had to ask them!! Acted like they did not want me there !,54,Restaurant,MY7feQxRnDq2hER-vcIDsA,gbGjSfc9ZuRYl7Scg1p75w,"What a funny and crazy place. It's like crack to kids. The minute they enter, they're gone , only to see glimpses of them throughout their adventures. <br/><br/>It really makes for a perfect party spot - they take care of everything for you in terms of food, organization, cake, timing, etc. So worth it for kids having fun.",58,None,,,2020-11-09T15:53:20.118Z,2020-11-09T15:53:34.918Z,2020-11-09T15:53:05.687Z,2020-11-09T15:53:29.998Z,2020-11-09T15:53:13.967Z,2020-11-09T15:52:57.806Z,Win32,en-US,Mon Nov 09 2020 09:52:57 GMT-0600 (Central Standard Time),2020-11-09T15:53:34.918Z,None,None,Restaurant,Restaurant,None,1,0,1,1,1,4
3T2EL38U0MKLSTKMWXG4K2VYH3HQXH,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:49+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:49+00:00,,,3UXUOQ9OKEX2CI58FQKLONZS1DN7AC,AKA9GVF1OTDCH,Submitted,2020-11-09T15:52:19+00:00,2020-11-09T15:53:24+00:00,2020-11-16T15:53:24+00:00,,,,65,0% (0/0),0% (0/0),0% (0/0),w4RKVrUPNUNMwkr086V60w,AnNc37ZrSbnA-IjchurfBg,Took my kids here a couple days ago. Had a great time and will definitely be back! I need to convince my wife to join the dodgeball league with me as an excuse to go back more. Great fun for the whole family even if you just go to watch your kids.,52,None,kNlrO6yS-g2Qw4VPwJK9dw,y21M2pMkc0csUh0mQv7SUA,Jeremiah the technician was out from alchemist to fix our pump. He was able to get the motor running again replaced all the seals gaskets and O-rings and got everything working up to par as it should. He was amazing. I would highly recommend them to anyone,48,None,CjSSV_SRWGU-rhQtbhyZXw,nlssnslcQPqsTWBkgSG2WA,"Love this place! For a coffee with a friend or to do some work on my laptop. Great drinks, delicious coffee, yummy breakfast and lunch freshly prepared, cozy atmosphere and pleasant people! They keep the place clean. The decor is very homely and warm.",44,Restaurant,QRPbWDope_I8yIveTnIIjQ,6Eks3cn0UGUqQjXxXpSPDg,"The best burger joint in Durham hands down. My favourite is the steak dinner burger, the fries are amazing and try out the garlic dill aioli dipping sauce! I compare every burger I eat to Baldwin Burger and so far no burger has surpassed Baldwins! Staff are always friendly.",49,Restaurant,Nc1SaPHHr3hnNM1J4yEO6g,a1v8QIdbA_HTg_YyNlBY_w,"I am a frequent customer of this place. The atmosphere is very quiet and relaxing. It is a casual dining experience so nothing fancy, just good food! Allison is the best she will go the extra mile to make sure you get what you want! Good place for a caual date night.",52,Restaurant,,,2020-11-09T15:54:03.065Z,2020-11-09T15:53:54.642Z,2020-11-09T15:53:31.729Z,2020-11-09T15:53:41.015Z,2020-11-09T15:53:48.634Z,2020-11-09T15:53:17.232Z,Win32,en-GB,Mon Nov 09 2020 07:53:17 GMT-0800 (Pacific Standard Time),2020-11-09T15:54:03.065Z,None,None,Restaurant,Restaurant,Restaurant,1,1,1,1,1,5
3NKW03WTLM763TFWMSKIIJHR81BQWO,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:49+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:49+00:00,,,3K772S5NP8B2VKSW848JBJED0VHHEJ,A1MIR0TP081SKT,Submitted,2020-11-09T16:04:26+00:00,2020-11-09T16:06:08+00:00,2020-11-16T16:06:08+00:00,,,,102,0% (0/0),0% (0/0),0% (0/0),JJ8X0sdk-HKrPUMRcQOJvA,nagEz0_TZBjrXxkhr7YZiQ,"Ryan has been great. easy to get a hold of, very knowledgeable and caring. i have been bouncing around trying to find a good lawyer in this town to help me with my Intellectual Property needs. I am very happy with Ryan.",42,None,QMlDGdcUryY3ywAn3Xvk-A,XYTXl-3M_Inu1MRiLAstmA,Great watering hole. Staff is excellent but the food is not. I normally go to another restaurant then go to Brubakers. I also go to another restaurant and stay there.  My point is Id prefer to stay at Brubakers but microwaved food and one basic oven is sub par.,49,Restaurant,U_OtnDS9TRXuyvsnL3WfLQ,Zi30KOKUf9m4nggV2WQIZg,I have gone to Lois and Staff at AZ Sportcenter for 2 different injuries and avoided surgery due to their excellent care and service.  I would highly recommend.  It was easy to schedule and work into my very busy schedule. Will always choose them for PT!!,46,None,U24xBDO7c9byvEW4H_uVZg,dd2lOVfpM3nLbcJs3Gq0HQ,"I'm not a huge fan of Starbucks coffee, but I really enjoy this particular location. I usually come here when I have some weekend work I have to get done. Lots of tables and seating and you don't have to pay for parking. The baristas are very friendly and they always get my order right!",57,None,dOic69YVbNV6HNJYC5jc_A,J4nJBVj3cC0n1dqDhr3xCQ,"This is an exemplary place of perfection regarding sports bars!!!  <br/>I drove past 11 so called ""sports bars"" to see this renowned place for myself.  It's a buzz!! For very good reason!  All I can say is ""you just gotta try it""<br/>Check my picks: fried pickles and anytype beer.",51,None,,,2020-11-09T16:06:07.751Z,2020-11-09T16:05:41.685Z,2020-11-09T16:05:56.808Z,2020-11-09T16:05:28.774Z,2020-11-09T16:05:22.447Z,2020-11-09T16:05:10.658Z,Win32,en-GB,Mon Nov 09 2020 21:35:10 GMT+0530 (India Standard Time),2020-11-09T16:06:07.751Z,None,Restaurant,None,Restaurant,None,1,1,1,0,1,4
335HHSX8CD5UHUG2M7SYHH05AY9HDA,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:49+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:49+00:00,,,3X1FV8S5JXR5XZJ7JOFBQNQYLQ6VG3,A182N7RLXGSCZG,Submitted,2020-11-09T15:52:16+00:00,2020-11-09T15:52:52+00:00,2020-11-16T15:52:52+00:00,,,,36,0% (0/0),0% (0/0),0% (0/0),xR9OBJZNipxlB_zXb5ZcFw,lN3hRo_vDVTRGwMXHh0V6A,A good place to take your little itty bitty ones to keep cool in the summer. The food is standard but pricier than Peter piper pizza. The games and arcade here is better though and entertainment wise everyone loves some Chuck E. Cheese,43,Restaurant,LlExxO6ClbDqlqdcyiduug,X_Pg8SvGGYhCxwWRkrUv3Q,"CoCo has quickly become my go-to BBT chain when I want some bbt. This location has been the most consistent (drinks, service, etc ...) for me, so I usually go to this one. My favourite drink from them is their Matcha Milk Tea, it's so good.",47,Restaurant,O4TfSU7jhB7myImmbtnncw,PFcU6qPzQo8SAJi9EbnDTA,"Madison Meadows is terrible school run by 'rich kid' bullies who physically and mentally abuse the other children. The principal, Miss Doyle, essentially protects them as she doesn't want to enrage their parents. DO NOT SEND your kids to Madison Meadows!",42,None,asITvJdjk_yTNbYRr4d1Xw,DhmueVC8937dzgwl6Q6iDg,Service is consistent. Team is fast and courteous. Food is generally fresh. I am always disappointed with subway in general because of thier cheap portions.  But hey I get it.  This is by far one of the better subways in the valley.,42,Restaurant,ZMRKtzpa-7Iuf357t7xwzA,jXCcgBU6_zsjsbyOpShNTQ,"So far my favorite location. Have 2 gamer boys with a huge age gap... They keep me in the know, if I ask, my only wish is if they had a way to let me know if I had already purchased the game... That would be helpful!!",47,None,,,2020-11-09T15:52:41.451Z,2020-11-09T15:52:46.420Z,2020-11-09T15:52:50.908Z,2020-11-09T15:52:34.267Z,2020-11-09T15:52:29.635Z,2020-11-09T15:52:15.792Z,Win32,en-US,Mon Nov 09 2020 10:52:15 GMT-0500 (Eastern Standard Time),2020-11-09T15:52:50.908Z,Restaurant,Restaurant,None,Restaurant,None,1,1,1,1,1,5
3BKZLF990ZZASYAW1T263G27J9BQYN,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:50+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:50+00:00,,,3PS7W85Z8Z2B5XSA0N9MXOGQKSW9TB,A1MIR0TP081SKT,Submitted,2020-11-09T15:57:06+00:00,2020-11-09T15:58:47+00:00,2020-11-16T15:58:47+00:00,,,,101,0% (0/0),0% (0/0),0% (0/0),j1OMcIbSSWapIBgQ39TSJA,9jktc8BXDYkdr64L3Q0CyQ,this is not a starbucks! it is a barnes & noble café that sells starbucks coffee and not even all of it so be mindful of that! i love this place!! (it is true that they do not take starbucks gift cards or points!,43,None,nsiNPIa2NyGHOQ8ZnioxwA,Uz9GCggCILF_Djrvz7LsIA,"Small neigbourhood  branch,  there isnt much to this library, no special programs or history (as far as I know).. Decent collection, about half a dozen computer and 2 main table that have outlet to use for computer and various small seating around just sit down and relax.<br/><br/>They also have a theatre/program  in the basement",56,None,85beHBbelTLO4DDVIcTl3A,fmamlcEQx8CtwexhSrmOPA,ok music cute bartender and a stiff drink check. The people watching here is awesome I seem to end up here with friends not by choice but the night ends well and all is drunk. Reminds of the LA thing to do though....,43,Restaurant,UMkD6cUX-bqilmNit8IUtw,JOUZELoB9gj-2T5n-BrlSg,"Ordered a bacon portabella melt. I said twice, that I wanted onions on it. Got a little attitude from my order taker when they said ""I already put that on there."" Got the burger, no onions, one mushroom on the entire burger.",42,Restaurant,Ve5yIVH4vNhZbGesCPjd4w,v8DwivvS91mlA053wGr2eA,"I have ordered my nephews baby shower cake, my baby shower cake, my daughter's first birthday cake and about to order her 2nd birthday cake. I LOVE this place. It is family owned and they create beautiful and tasty cakes. I fully recommend them to any one.",48,None,,,2020-11-09T15:58:21.999Z,2020-11-09T15:58:13.866Z,2020-11-09T15:58:29.271Z,2020-11-09T15:58:46.359Z,2020-11-09T15:58:40.663Z,2020-11-09T15:57:59.996Z,Win32,en-GB,Mon Nov 09 2020 21:27:59 GMT+0530 (India Standard Time),2020-11-09T15:58:46.359Z,Restaurant,None,Restaurant,Restaurant,Restaurant,0,1,1,1,0,3
3LAZVA75NIRH6149TV375762PTYO2W,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:50+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:50+00:00,,,3SLE99ER0NDQF2G64ZC0AICXTOLZBR,A2XJH3WC02RMXQ,Submitted,2020-11-09T15:54:30+00:00,2020-11-09T16:01:27+00:00,2020-11-16T16:01:27+00:00,,,,417,0% (0/0),0% (0/0),0% (0/0),gsmCDnmFiOFm6Jb1qhIfVw,y166Ve7c7y2EnnePytr71Q,"Tried this handmade pulled raman, liked the noodle texture and the tasty soup base, the beef brisket topping is delicious. Service is fair, wait time and noodle prices are reasonable. The appetizers (cold dishes) are pricey, taste so so and the portion is small, not worth to try.",48,Restaurant,aR9DxG2dwwnSVS75kIrl8A,S5oRPNgIEqpNXVdMo_RiMg,"We contracted with this company for a full rebuild worth several hundred thousand dollars.  We had significant issues with quality, delays, frequent invoicing mistakes, and finally at the end, after they were paid they did not pay some of the sub-contractors which has resulted in a lien against our home.  I would not use or trust them again.",59,None,I6nJhgQoyV7oKyPSqDwI-w,udf0VibWPUJJMrtsGeFL-A,"This ""dentist"" appears to be running an insurance scam.  They wasted 1.5 hours of my time, did nothing for my health, and any work they did do must be redone by a proper dentist.  I agree with the other reviews, a hole city",44,None,QabQ7uRclWBz12qsg2mM6w,cXe0cxKIAXoeBiyGWSOUXg,All I can say is that a MUST place to visit!! Food was so good and delicious! Must try the real karahi - CHARSI KARAHI!! Custom made! The ambience of the restuarant is good and lively and everyone was enjoying the atmosphere. Must visit!!,43,Restaurant,HWzKN3PL9tefDGaavnOegw,RD-PqIwfJdprEnPwS9GS8Q,Salon owner kick me out of her salon with my wet hair and not give me a hair cut because she thinks I smell like fish sauce ! It's an insulting because I drove 30 min back and forth each way to re connect with a hair dresser I met 10 years ago !,53,None,,,2020-11-09T16:01:22.732Z,2020-11-09T16:01:00.068Z,2020-11-09T16:01:08.997Z,2020-11-09T16:00:45.823Z,2020-11-09T16:01:26.996Z,2020-11-09T15:57:07.164Z,Win32,en-US,Mon Nov 09 2020 21:27:07 GMT+0530 (India Standard Time),2020-11-09T16:01:26.996Z,Restaurant,None,None,Restaurant,None,1,1,1,1,1,5
3OND0WXMHWFZ90U2I23INZIQAAAHE3,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:50+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:50+00:00,,,3PPTZCWALQKDJ8IVNH9Q577WFOMZQ3,A3DHYTZ1GPN0T8,Submitted,2020-11-09T15:55:02+00:00,2020-11-09T15:55:50+00:00,2020-11-16T15:55:50+00:00,,,,48,0% (0/0),0% (0/0),0% (0/0),pJhXcf3ypQUPrdDqwAkrjQ,crfd5AVZ39VugewuH5A7Vw,Their bubble tea is good but in a business perspective I don't see how this store stands out from all the other bubble stores around. The trio milk tea I order tasted great but if there was a coco near by I would pick coco tbh,47,None,lnAcICHOAi7umoUyLXx2pA,N9Q2HlpqeG2NKbvqJI-REw,"Great food! Best Thai I've ever had! Been there multiple times and I've never been disappointed. I recommend getting vegetables instead of paying extra to add meat, they don't put a lot of meat in for the extra cost. But overall, love this place!",47,Restaurant,CSy3hp2bAAS505wnoks5Gw,B750K4IjJM96fL4EFvGNLg,Don't bother! Unbelievably incompetent. They are apparently incapable of communicating basic information like a phone number to there install technicians. I called 3 times and waited all day for our install. I did not receive even one call from a technician.,42,None,iGvIKBBk0Ckc4IQdeyAM_Q,4UxwRQSd_g3j6E3e_xYwDQ,This will be my go to smoothie place! I got the green smoothie (with a lot of modifications because I'm picky) and it's delicious! It's about $8 but you get your money's worth. I can't wait to try the açaí bowls!,46,Restaurant,iW9mmBs_JtA-N0bwr7qcFg,Nrpu_v4KqQhdnWlVbPjiiA,"If you don't mind hipster vibe, you should check this place out. They have lots of delicious Lebanese snacks that you can order to take away, it will definitely be few of the best snacks you can bring to a party.",42,Restaurant,,,2020-11-09T15:55:47.342Z,2020-11-09T15:55:34.262Z,2020-11-09T15:55:32.007Z,2020-11-09T15:55:50.006Z,2020-11-09T15:55:40.062Z,2020-11-09T15:55:11.196Z,Win32,en-US,Mon Nov 09 2020 21:25:11 GMT+0530 (India Standard Time),2020-11-09T15:55:50.006Z,Restaurant,Restaurant,None,Restaurant,Restaurant,0,1,1,1,1,4
3ZZAYRN1I6RBQ0YMCAN36UFSP6BTOT,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:50+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:50+00:00,,,3F0BG9B9MPN3803BVWY1R9HZ44Q7YM,A2K3R9GN8ZBLAO,Submitted,2020-11-09T15:52:39+00:00,2020-11-09T15:57:53+00:00,2020-11-16T15:57:53+00:00,,,,314,0% (0/0),0% (0/0),0% (0/0),_5rVj2dhbjSjprE6qZlpgw,KcwzQxr37sza-m9vhY66qQ,The front end staff is the friendliest I have seen. My doctor is Dr. Yuen who is very friendly and personable. I would highly recommend this clinic. The only downside is that they have walk-ins along with scheduled appointments and the wait times can be quite long.,48,None,wQp7rI_mPvsuXIgAAWKElw,aB7PFT04pUcwl8RF4t_Mng,"In short, it was professional, good quality work, and I will definitely do business with nufilez again.<br/><br/>We came in to transfer our wedding video from  a couple hd minidv tapes to dvd. This was the best company we find in Vegas. The process was quick and pleasant. We are going to do business with Nufilez again soon.",58,None,UeYfboSSETNjxoMXEcvlDg,UcaLZaIwz5P0PXRT15AdeA,"Sorry to report  my fellow Yelpers that this establishment is now closed as of last Saturday due to financial troubles and no liquor license. Truly sad because this was a nice place in a very great location...sorry to see it go....may it R.I.P. but continue to Eat, Drink, and Be Merry!!!!",55,Restaurant,jW_Er7oXqH4AO5cOflp4Wg,E7bWyUBaRdlIPrBtwXStvg,Tastes like homemade. Which is pretty authentic to me. The soup is light flavor which is what I'd like when I'm not too hungry but still need to eat. Meat portion is pretty good it controls my appetite. Would come back to try other dishes.,47,Restaurant,BgGwzdcGj_L4iicItl4rVQ,_kdpjoGrIzA64E6aXHA66w,"The Get yourselves a bottle of the Tempranillo-Shiraz blend and enjoy The carpaccio, the mussels , the empanadas. All Yummy yummy yummy!!!! Victor, our server this time around, was awesome, he was attentive, kept our glasses full! So, to sum up, FIVE STARS for being in Las Vegas. Please come and enjoy some great Spanish food.",56,Restaurant,,,2020-11-09T15:56:26.603Z,2020-11-09T15:56:20.524Z,2020-11-09T15:56:30.828Z,2020-11-09T15:56:23.644Z,2020-11-09T15:56:17.453Z,2020-11-09T15:55:55.934Z,Win32,en-US,Mon Nov 09 2020 21:25:55 GMT+0530 (India Standard Time),2020-11-09T15:56:30.828Z,None,Restaurant,Restaurant,Restaurant,None,1,0,1,1,0,3
3ZXV7Q5FJBO0Y6JIRL9NUQ6A9JKCF7,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:40+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:40+00:00,,,3D4CH1LGEAT70S64GNAFY511UYOG99,AND1FYBQ3829O,Submitted,2020-11-09T15:53:32+00:00,2020-11-09T15:54:32+00:00,2020-11-16T15:54:32+00:00,,,,60,0% (0/0),0% (0/0),0% (0/0),PXua82vbHjg8IIwKoOkxvA,eIN-Klt4gzUlP0gqNZmreg,"Had rear bumper/ hood damage fixed and painted on my 2013 Nissan Rogue. Very pleased with everything from the staff, pricing and final repair to the vehicle. If needed, I will definitely bring my vehicles here for paint and body work in the future!!!",44,None,8Fk4EtD5SfwXnVTn8F4bCw,9jPb9kD6UBk4aVEgaizaoQ,Food is so-so. Depends on what you get. The string fries are surprisingly good. Slow service. Great place to people watch though. Very colorful regulars here. I could see going here and drinking coffee for an hour and just getting a kick out of some of the folks eating here. Very Lynchian depending on the time of day.,59,Restaurant,2YqA8FiL3jFwvebD2wABUg,sHpI8G-kqRkIwLnndY-IZw,"Judy, I just returned from a long business trip to find my house beautifully  clean.  The team you sent did a great job and paid attention to detail.  I would request that they work here always.  Please pass on my thank you to the lady's .  Thanks again!",48,None,k-A5IGmXcai0oA-guA6f-w,9Jwq_5MiTdnEg-YwdzKHSQ,"This place is amazing! I have been to many different massage places ( massage envy, Hand and stone ) just to name a few, and this place takes the cake! The do a amazing job, I have not had a therapist that did not do amazing! The price you can't beat anywhere else!",52,None,XbkBqtWS4MvR2vqb2JIS4g,0paByAfG-TiHfmi9pNvbSg,"We built a new home and worked with Meghan to select all our fixtures.  She was incredible helpful and helped us pick the perfect fixtures to match the style we were looking for, all while fitting into our budget.  If you need to get new lights, Madison Lighting was great and Meghan has gone above and beyond for us!",59,None,,,2020-11-09T15:54:28.375Z,2020-11-09T15:54:32.494Z,2020-11-09T15:54:13.127Z,2020-11-09T15:54:25.399Z,2020-11-09T15:54:21.477Z,2020-11-09T15:53:33.317Z,Win32,en-US,Mon Nov 09 2020 23:53:33 GMT+0800 (China Standard Time),2020-11-09T15:54:32.494Z,Restaurant,None,Restaurant,Restaurant,Restaurant,0,0,0,0,0,0
3I7SHAD35MW0SZG3MR5P9UY5595M7V,3EOS91U1VZB7EKHQC3BWS7001XEBYO,Decide if these reviews describes a restaurant,You see a review describing a business. Your task is to decide if the business this review describes is a restaurant.,"text, classification",$0.12,2020-11-09T15:51:50+00:00,1,BatchId:4245182;OriginalHitTemplateId:929448123;,600,604800,2020-11-16T15:51:50+00:00,,,3TUI152ZZBNGOCXNF60YDDNK2ABQ19,A129XS4X1QO0QW,Submitted,2020-11-09T16:03:32+00:00,2020-11-09T16:09:29+00:00,2020-11-16T16:09:29+00:00,,,,357,0% (0/0),0% (0/0),0% (0/0),Vvvp67de3VFFC2_r4LBeOg,lrMuq4geWVWDkYIxOdTE2A,"I have been getting my cuts with Greg <br/>""the owner of Fair Cutz"" for about 2 years now. He and his staff are just amazing. I have a very busy schedule and he always works around my time. Expect nothing but 5+",42,None,EAQsI0y-DX1PjUKc7Ao5oA,RKtbtlOEpBdT-i5vqeIMsw,"My daughter says to give this five stars. She is a huge Reuben fan, and they made a huge Reuben for her. Just under $10 for the sandwich, which could be split if your companion is more generous than mine.",40,Restaurant,wDkpyiiaHMzALBxCyciOlQ,wtzyptO7ubkKCWyWTSxJLw,Great establishment. I went in to send a letter to my sister and only had $2 in my pocket. The happy man at the counter gave me a free envelope with a smile. It only cost me .70 cents to mail. I had extra money to put into my kids piggy bank. Thank you so much!,56,None,mxpJwjW-JfDaGpxl1IQDew,Q3SdFs_6P3BPhPPywHZqBQ,"Guilty for not reviewing this place earlier. It is a hidden gem in Toronto. I have been coming here for years. <br/><br/>The soups are delicious here, such as the green curry and pineapple veggie soup. Everything on the menu is very fairly priced. It is family run and hope they never close or even expand.",55,Restaurant,5-mpXVumdOtmjwjJ6ziaBg,aBGT2NQ9fSesoB93-eVj5w,"Decent location in what I would consider the not so fabulous section of Mesa. The lady at the counter was super friendly and I was in and out in no time with my $.69 Gatorade Peace A town, I'm out of here!",43,None,,,2020-11-09T16:08:43.082Z,2020-11-09T16:09:28.923Z,2020-11-09T16:08:28.785Z,2020-11-09T16:07:48.593Z,2020-11-09T16:09:18.082Z,2020-11-09T16:07:26.625Z,Win32,en-US,Mon Nov 09 2020 21:37:26 GMT+0530 (India Standard Time),2020-11-09T16:09:28.923Z,None,Restaurant,None,Restaurant,None,1,1,1,1,1,5
